value;TypeofPayment;fixedOrVariableCost;Category;Category_1;Category_2;Category_3;Comment
TRÄNGSELSKATT TRANSPORTSTYRELSEN;Betalning;Fasta;Transport;;;;
tvärflöjt;Kort;Rörligt;Övrigt;;;;
TYSKA BRON,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
Täckning 23e;Överföring;Rörligt;Övrigt;;;;
UDEMY: ONLINE COURSES,DUBLIN 2,IE;Kort;Rörligt;Övrigt;;;;
ULLA J PLATS,MOLNDAL,SE;Kort;Rörligt;Mat;;;;
ULRICEHAMN SKIC ULRICEHAMN;Kort;Rörligt;Fritid;;;;
V F BIBLIOTEK VASTRA FROLUN;Kort;Rörligt;Övrigt;;;;
VASAKLINIKEN I SVERIGE GOTEBOR;Kort;Rörligt;Sjukvård;;;;
Vasttrafik AB Goteborg;Kort;Rörligt;Transport;;;;
Vasttrafik AB,Goteborg,SE;Kort;Rörligt;Transport;;;;
VATTENFALL KUNDSERVICE AB;Betalning;Fasta;Boende;;;;
veckomat;Överföring;Rörligt;Mat;;;;
VEDBRÄNDE RIDLÄGER;Betalning;Rörligt;Fritid;;;;
VENTIL;Överföring;Rörligt;Boende;;;;
vilg husesyn;Överföring;Rörligt;Övrigt;;;;
vilg, besiktning;Överföring;Rörligt;Övrigt;;;;
VOLVOFINANS BANK AB;Betalning;Fasta;Transport;;;;
VÄSTTRAFIK AB,GOTEBORG,SE;Kort;Rörligt;Transport;;;;
WILLYS;Överföring;Rörligt;Mat;;;;
WILLYS HEMMA GOTEBORG,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
WILLYS HEMMA PAVELUND,VASTRA FROLUN,SE;Kort;Rörligt;Mat;;;;
WILLYS HVITFELDTSPLATS,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
WILLYS OSKARSHAMN SNIC OSKARSH;Kort;Rörligt;Mat;;;;
WILLYS SISJON ASKIM;Kort;Rörligt;Mat;;;;
WILLYS SISJON,ASKIM,SE;Kort;Rörligt;Mat;;;;
WILLYS SISJÖN,ASKIM,SE;Kort;Rörligt;Mat;;;;
WWW.BILTEMA.COM,HELSINGBORG,SE;Kort;Rörligt;Boende;;;;
WWW.SFANYTIME.COM STOCKHOLM;Kort;Rörligt;Övrigt;;;;
WWW.SFANYTIME.COM,STOCKHOLM,SE;Kort;Rörligt;Övrigt;;;;
WWW.TELENOR.SE,HELSINGBORG,SE;Kort;Rörligt;Mobil;;;;
Wästerläkarna AB;Betalning;Rörligt;Sjukvård;;;;
XXH M SE0249 VASTRA FR VASTRA;Kort;Rörligt;Kläder;;;;
XXL SPORT &VILD,ASKIM,SE;Kort;Rörligt;Kläder;;;;
XXL SPORT VILD ASKIM;Kort;Rörligt;Kläder;;;;
XXL SPORT VILD,ASKIM,SE;Kort;Rörligt;Kläder;;;;
Zooplus AG;Betalning;Rörligt;Övrigt;;;;
Årsavg. Bankkort 4459;Betalning;Fasta;Övrigt;;;;
ÅTERBETALNIN;Överföring;Rörligt;Bidrag;;;;
ÅterbäringLF;Insättning;Rörligt;Bidrag;;;;
överdrag f o g;Överföring;Rörligt;Kläder;;;;
Överf ISK;Överföring;Fasta;Spara;;;;
ÖVERFÖRING;Överföring;Rörligt;Övrigt;;;;
