Institutions;Sector;ESA10 category;Classification applies from;Date classified on the PSCG;Notes;
Commonwealth Scholarship Commission in the UK;Central Government;S.1311;;;;
Commonwealth War Graves Commission;Central Government;S.1311;;;;
Communications for Business;Central Government;S.1311;;;;
Communities Scotland;Former Central Government;S.1311;1-Apr-08;Apr-15;;
Community and Safety Services Limited;Public Non-Financial Corporation;S.11001;28-Jul-09;Feb-17;Formed on 29 July 2009 as a subsidiary of Community Safety GlasgowThrough its board of directors also having to serve on the board of Community Safety Glasgow (its parent company), Community and Safety Services Limited was identified as a publically controlled institutional unit. By providing commercial security services at economically significant prices to non-Glasgow City Council customers, Community and Safety Services Limited passed the market test criteria as outlined in ESA 2010, and so it was considered to be a market body. As a publically controlled, market body, ONS concluded that Community and Safety Services Limited should be classified as a public non-financial corporation (S.11001). ;
Community Councils (Scotland) (En Bloc);Local Government;S.1313;26-May-05;Sep-11;;
Community Councils (Wales) (En Bloc);Local Government;S.1313;25-May-05;Sep-11;;
Community Development Foundation;Central Government;S.1311;;;;
Community Fund;Former Central Government;S.1311;;;;
Community Health Councils (En Bloc);Former Central Government;S.1311;1-Dec-03;Mar-12;;
Community Health Councils (Wales);Central Government;S.1311;;;;
Community Health Councils (Wales) Board;Central Government;S.1311;;;;
Community Justice Scotland;Central Government;S.1311;1-Apr-17;Jun-19;Community Justice Scotland (CJS) is the body responsible for promoting world-leading standards of community justice across Scotland and advises Ministers and local government leaders on strengthening how public services and other partners can work together to prevent and reduce offending. ONS has assessed the classification status of CJS and has concluded that it is subject to public sector control as the chair and all members of the CJS board are appointed by Scottish Ministers. The assessment also concluded that CJS is a non-market body, as it is funded entirely by the Scottish Government through grant-in-aid. As such, CJS has been classified to the Central Government subsector (S.1311) with effect from 1 April 2017, the date CJS assumed its full functions. ;
Community Learning Scotland;Former Central Government;S.1311;;;;
Community Safety Glasgow;Local Government;S.1313;1-Oct-06;Feb-17;Community Safety Glasgow was incorporated on 1 October 2006, as a partnership between Glasgow City Council and Police Scotland as a charitable body to deal with crime prevention, antisocial behavior and community safety issues. As a local government controlled non market body, ONS concluded that Community Safety Glasgow is classified to the Local Government subsector (S.1313).;Community Safety Glasgow was incorporated on 1 October 2006, as a partnership between Glasgow City Council and Police Scotland as a charitable body to deal with crime prevention, antisocial behavior and community safety issues. As a local government controlled non market body, ONS concluded that Community Safety Glasgow is classified to the Local Government subsector (S.1313).
Community Schools (En Bloc);Local Government;S.1313;1-Nov-99;Jul-10;;
Companies House;Central Government;S.1311;01-Nov-1884;Oct-18;;
Compensation Agency (Northern Ireland);Central Government;S.1311;;;;
Competition and Markets Authority;Central Government;S.1311;1-Oct-13;Oct-13;;
Competition Appeal Tribunal;Central Government;S.1311;;;;
Competition Commission;Central Government;S.1311;;;;
Competition Service;Central Government;S.1311;;;;
Compost Development Venture (CDV) Ltd;Local Government;S.1313;;;;
Conservation Board for the Chilterns Area of Outstanding Natural Beauty;Local Government;S.1313;1-Dec-04;Sep-12;;
Conservation Board for the Cotswolds Area of Outstanding Natural Beauty;Local Government;S.1313;1-Dec-04;Sep-12;;
Consignia (Customer Management) Limited;Public Non-Financial Corporation;S.11001;;;;
Consolidated Fund;CG Funds, Accounts, Courts and Posts;S.1311;;;;
Construction Industry Advisory Council (Northern Ireland);Central Government;S.1311;;;;
Construction Industry Training Board (NI);Central Government;S.1311;;;;
Construction Industry Training Board, The;Central Government;S.1311;;;;
Construction Service;Former Central Government;S.1311;;;;
Consultative Board on Badgers and Bovine Tuberculosis;Former Central Government;S.1311;;;;
Consumer Communications for England (CCE);Central Government;S.1311;;;;
Consumer Council for Postal Services (Postwatch);Former Central Government;S.1311;1-Apr-08;Aug-11;;
Consumer Council for Water;Central Government;S.1311;;;;
Consumer Financial Education Body Ltd;Central Government;S.1311;1-Apr-10;Aug-10;;
Consumer Focus;Central Government;S.1311;1-Apr-08;Aug-11;;
Consumer Panel;Former Central Government;S.1311;;;;
Consumers’ Committee for Great Britain under the Agricultural Marketing Act 1958;Former Central Government;S.1311;;;;
Contingencies Fund;CG Funds, Accounts, Courts and Posts;S.1311;;;;
Contracts Rights Renewal Adjudicator;Central Government;S.1311;1-Dec-03;May-12;;
Contributions Agency;Former Central Government;S.1311;;;;
Convention of Scottish Local Authorities (CoSLA);Local Government;S.1311;1-Jan-75;Jul-18;;
Conversion Loan Redemption Account;CG Funds, Accounts, Courts and Posts;S.1311;;;;
Conwy County Borough Council;Local Government;S.1313;;;;
Copeland Borough Council;Local Government;S.1313;;;;
Copyright Tribunal, The;Central Government;S.1311;;;;
Corby - (s NTC);Former Central Government;S.1311;;;;
Corby Borough Council;Local Government;S.1313;;;;
Cornwall Airport;Local Government;S.1313;;;;
Cornwall Council;Local Government;S.1313;;;;
Cornwall Housing Ltd;Public Non-Financial Corporation;S.11001;1-Apr-10;Jul-13;;
Coroners;LG Funds, Accounts, Courts and Posts;S.1313;;;;
Cotswold District Council;Local Government;S.1313;;;;
Council for Catholic Maintained Schools;Central Government;S.1311;;;;
Council for Healthcare Regulatory Excellence;Central Government;S.1311;;;;
Council for National Academic Awards;Former Central Government;S.1311;;;;
Council for Nature Conservation and the Countryside;Central Government;S.1311;;;;
Council for Professions Supplementary to Medicine, the;Former Central Government;S.1311;;;;
Council for Science and Technology;Central Government;S.1311;;;;
Council for the Central Laboratory of the Research Councils (CCLRC);Former Central Government;S.1311;;;;
Council for the Regulation of Healthcare Professionals;Central Government;S.1311;;;;
Council of Reserve Forces and Cadet Associations / Reserve Forces and Cadet Associations;Central Government;S.1311;;Mar-11;;
Council of the Isles of Scilly;Local Government;S.1313;;;;
Council on Tribunals;Former Central Government;S.1311;;;;
Counter Fraud and Security Management Service;Former Central Government;S.1311;;;;
Countryside Agency;Former Central Government;S.1311;1-Oct-06;Jun-12;;
Countryside Council for Wales;Former Central Government;S.1311;1-Apr-13;Apr-13;;
County Councils (En Bloc);Local Government;S.1313;;;;
County Court Rule Committee;Former Central Government;S.1311;;;;
County Courts;CG Funds, Accounts, Courts and Posts;S.1311;;;;
County Durham Development Co Ltd;Local Government;S.1313;;;;
County Schools (En Bloc);Former Local Government;S.1313;;;;
Court Funds Investment Account;CG Funds, Accounts, Courts and Posts;S.1311;;;;
Court Service, The;Former Central Government;S.1311;1-Apr-05;Oct-11;;
Coutts & Co;Public Financial Corporation;S.12201;;;;
Covent Garden Market Authority;Public Non-Financial Corporation;S.11001;;;;
Coventry (Basington) Aerodrome;Local Government;S.1313;;;;
Coventry City Council;Local Government;S.1313;;;;
Cowal Ferries Ltd;Central Government;S.1311;1-Apr-07;Apr-11;;
Craven District Council;Local Government;S.1313;;;;
Crawley Borough Council;Local Government;S.1313;;;;
Creative Scotland;Central Government;S.1311;1-Jul-10;Mar-11;;
Crime Concern, Marks and Spencer, Groundwork Partnership (t/a Youth Works) (The);Central Government;S.1311;;;;
Crime Prevention Agency Board;Former Central Government;S.1311;;;;
Criminal Cases Review Commission;Central Government;S.1311;;;;
Criminal Injuries Compensation Appeals Panel (CICAP);Former Central Government;S.1311;1-Apr-06;Nov-11;;
Criminal Injuries Compensation Authority;Central Government;S.1311;;;;
Criminal Injuries Compensation Board;Former Central Government;S.1311;;;;
Criminal Justice Inspection Northern Ireland / the Chief Inspector of Criminal Justice in Northern Ireland;Central Government;S.1311;;;;
Criminal Procedure Rule Committee;Central Government;S.1311;1-Jan-04;Oct-12;;
Criminal Records Bureau;Former Central Government;S.1311;1-Aug-03;Mar-12;"The CRB provided a service which enabled organisations in the public, private and voluntary sectors to make better informed, safer recruitment decisions, by providing them with information to enable them to determine whether candidates are unsuitable for certain work; particularly in occupations involving regular contact with vulnerable groups including children. In December 2012 the CRB merged with the Independent Safeguarding Authority (ISA) to form the Disclosure and Barring Service (DBS) and consequently, the CRB is reclassified as a Former Central Government body from that date.";
Crofting Commission (formerly Crofter's Commission);Central Government;S.1311;;;;
Cromarty Firth;Former Public Non-Financial Corporation;S.11001;2-Dec-15;Oct-16;In accordance with internationally agreed rules in the Europeans System of Accounts 2010 (ESA2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016), ONS has reviewed the classification of Scottish Trust Ports. Based on provisions contained within the Ports Act 1991, these were previously classified as public non-financial corporations (S.11001). The Scottish Government introduced new legislation in 2015 (the Harbours (Scotland) Act) to repeal sections of the Ports Act 1991 with a view to removing public sector control of Scottish Trust Ports. Following consideration of this legislation, ONS concluded that the Scottish Trust Ports are no longer subject to public sector controls. Scottish Trust Ports are now classified as private non-financial corporations, with this decision effective from 2 December 2015.;
Cromarty Harbour;Former Public Non-Financial Corporation;S.11001;2-Dec-15;Oct-16;In accordance with internationally agreed rules in the Europeans System of Accounts 2010 (ESA2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016), ONS has reviewed the classification of Scottish Trust Ports. Based on provisions contained within the Ports Act 1991, these were previously classified as public non-financial corporations (S.11001). The Scottish Government introduced new legislation in 2015 (the Harbours (Scotland) Act) to repeal sections of the Ports Act 1991 with a view to removing public sector control of Scottish Trust Ports. Following consideration of this legislation, ONS concluded that the Scottish Trust Ports are no longer subject to public sector controls. Scottish Trust Ports are now classified as private non-financial corporations, with this decision effective from 2 December 2015.;
Cross London Rail Links Ltd;Former Central Government;S.1311;;;;
Crossrail Limited;Local Government;S.1313;;;;
Crown Agents for Overseas Governments and Administrations Ltd (known as Crown Agents);Former Public Corporation;S.11001;;;;
Crown Agents Holding and Realisation Board;Former Public Corporation;S.11001;;;;
Crown Court Rule Committee;Former Central Government;S.1311;1-Sep-12;Oct-12;;
Crown Courts (En Bloc);CG Funds, Accounts, Courts and Posts;S.1311;;;;
Crown Estate;Public Non-Financial Corporation;S.11001;;;;
Crown Estate Paving Commission;Local Government;S.1313;;;;
Crown Estate Scotland (Interim Management);Public Non-Financial Corporation;S.11001;1-Apr-17;Nov-17;"Crown Estate Scotland (Interim Management) (CES-(IM)) is an interim body, created to manage the Crown Estate's assets in Scotland, which include four rural estates, mineral and salmon fishing rights, around 50% of the foreshore, and almost all of the seabed to 12 nautical miles and associated rights on the Continental Shelf beyond 12 nautical miles (including leasing for renewable energy, pipelines and cables). CES-(IM) commenced management of the Crown Estate assets in Scotland on 1 April 2017

ONS formally assessed CES-(IM) in accordance with the internationally agreed rules in the European System of Accounts 2010 (ESA 2010) and the accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016) and concluded that CES-(IM) is a public non-financial corporation (S.11001).  
";
Crown Office, Scotland;Central Government;S.1311;;;;
Crown Prosecution Service;Central Government;S.1311;;;;
Cruden Bay Harbour;Former Public Non-Financial Corporation;S.11001;2-Dec-15;Oct-16;In accordance with internationally agreed rules in the Europeans System of Accounts 2010 (ESA2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016), ONS has reviewed the classification of Scottish Trust Ports. Based on provisions contained within the Ports Act 1991, these were previously classified as public non-financial corporations (S.11001). The Scottish Government introduced new legislation in 2015 (the Harbours (Scotland) Act) to repeal sections of the Ports Act 1991 with a view to removing public sector control of Scottish Trust Ports. Following consideration of this legislation, ONS concluded that the Scottish Trust Ports are no longer subject to public sector controls. Scottish Trust Ports are now classified as private non-financial corporations, with this decision effective from 2 December 2015.;
CTRL (UK) Ltd;Former Public Corporation;S.11001;1-Nov-10;Mar-12;;
CTRL Section 1 Finance plc;Central Government;S.1311;1-Jun-09;Mar-12;;
Culture North East (North East Cultural Consortium);Former Central Government;S.1311;1-Sep-10;May-12;;
Cumbernauld Development Corporation;Former Public Corporation;S.11001;;;;
Cumbria and Lancashire Community Rehabilitation Company (CRC);Former Central Government;S.1311;1-Feb-15;Mar-15;;
Cumbria County Council;Local Government;S.1313;;;;
Cumbria Waste Disposal;Local Government;S.1313;;;;
Customer Service Committees (OFWAT);Central Government;S.1311;;;;
Cwm Taf Health Board;Central Government;S.1311;1-Jun-09;Mar-11;;
Cwmbran - (s NTC);Former Central Government;S.1311;;;;
Dacorum Council;Local Government;S.1313;;;;
Dale and Valley Homes Ltd;Public Non-Financial Corporation;S.11001;;;;
Dairy Produce Quota Tribunal;Former Central Government;S.1311;;;;
DairyCo Ltd;Central Government;S.1311;;;;
Darlington Borough Council;Local Government;S.1313;;;;
Dartford Borough Council;Local Government;S.1313;;;;
Dartmoor National Park Authority;Local Government;S.1313;1-Jun-96;Sep-12;;
Dartmoor Steering Group and Working Party;Former Central Government;S.1311;1-Apr-06;Mar-11;;
Darwin Advisory Committee;Central Government;S.1311;;;;
Daventry District Council;Local Government;S.1313;;;;
David MacBrayne HR (UK) Ltd;Central Government;S.1311;1-Nov-07;Apr-11;;
David MacBrayne Ltd;Central Government;S.1311;1-Jul-06;Apr-11;;
Debt Management Account;CG Funds, Accounts, Courts and Posts;S.1311;;;;
Deer Commission for Scotland;Former Central Government;S.1311;1-Apr-11;Sep-11;;
Defence Analytical Services Agency;Former Central Government;S.1311;1-Apr-08;Mar-11;;
Defence Animal Centre;Former Central Government;S.1311;;;;
Defence Aviation Repair Agency;Former Public Corporation;S.11001;;;;
Defence Bills Agency;Former Central Government;S.1311;1-Apr-07;Mar-11;;
Defence Codification Agency;Former Central Government;S.1311;;;;
Defence Communications Services Agency;Former Central Government;S.1311;1-Apr-07;Mar-11;;
Defence Dental Agency;Former Central Government;S.1311;1-Apr-05;Mar-11;;
Defence Estates;Former Central Government;S.1311;1-Apr-07;Mar-11;;
Defence Estates Organisation;Former Central Government;S.1311;;;;
Defence Evaluation and Research Agency;Former Public Corporation;S.11001;;;;
Defence Geographical and Imaging Intelligence Agency;Former Central Government;S.1311;1-Apr-05;Mar-11;;
Defence Housing Executive;Former Central Government;S.1311;1-Apr-04;Mar-11;;
Defence Intelligence and Security Agency;Former Central Government;S.1311;1-Apr-05;Mar-11;;
Defence Medical Training Organisation;Former Central Government;S.1311;1-Apr-08;Mar-11;;
Defence Nuclear Safety Committee;Central Government;S.1311;;;;
Defence Postal and Courier Services Agency;Former Central Government;S.1311;;;;
Defence Procurement Agency;Former Central Government;S.1311;1-Apr-07;Mar-11;;
Defence Science and Technology Laboratory (The) (DSTL);Public Non-Financial Corporation;S.11001;;;;
Defence Scientific Advisory Council;Central Government;S.1311;;;;
Defence Secondary Care Agency;Former Central Government;S.1311;1-Apr-03;Mar-11;;
Defence Storage and Distribution Agency;Former Central Government;S.1311;1-Jul-10;Mar-11;;
Defence Support Group;Public Non-Financial Corporation;S.11001;;;;
Defence Transport and Movement Executive;Former Central Government;S.1311;1-Apr-07;Mar-11;;
Defence Vetting Agency;Former Central Government;S.1311;1-Oct-11;Sep-13;;
Defence, Clothing and Textiles Agency;Former Central Government;S.1311;1-Jul-10;Mar-11;;
Denbighshire County Council;Local Government;S.1313;;;;
Denehurst Park (Rochdale) Ltd;Local Government;S.1313;;;;
Dental Practice Board;Former Central Government;S.1311;;;;
Dental Rates Study Group;Former Central Government;S.1311;;;;
Dental Vocational Training Authority;Former Central Government;S.1311;;;;
Department for Business, Energy and Industrial Strategy;Central Government;S.1311;14-Jul-16;Mar-17;Department for Business, Energy and Industrial Strategy is a UK Government Department formed on 14 July 2016 following the merger of the Department of Business, Innovation and Skills and the Department of Energy and Climate Change. It is responsible for business, industrial strategy, science, innovation, energy and climate change.;
Department for Business, Enterprise & Regulatory Reform (BERR);Former Central Government;S.1311;;;;
Department for Business, Innovation and Skills;Former Central Government;S.1311;14-Jul-16;Mar-17;On 14 July 2016, the Department for Business, Innovation and Skills and the Department of Energy and Climate Change were merged together to form the Department for Business, Energy and Industrial Strategy. ;
Department for Children, Schools and Families (DCSF);Former Central Government;S.1311;;;;
Department for Communities and Local Government;Central Government;S.1311;;;;
Department for Constitutional Affairs (DCA);Former Central Government;S.1311;1-May-07;Oct-11;;
Department for Culture, Media & Sport;Central Government;S.1311;;;;
Department for Education;Central Government;S.1311;;;;
Department for Employment and Learning;Central Government;S.1311;;;;
Department for Employment and Skills;Former Central Government;S.1311;;;;
Department for Environment, Food & Rural Affairs;Central Government;S.1311;;;;
Department for Exiting the European Union;Central Government;S.1311;14-Jul-16;Mar-17;Department for Exiting the European Union is a UK Government Department formed on 14 July 2016. It is responsible for overseeing negotiations for the UK’s withdrawal from the European Union.;
Department for Innovation, Universities & Skills (DIUS);Former Central Government;S.1311;;;;
Department for International Development;Central Government;S.1311;;;;
Department for International Trade;Central Government;S.1311;14-Jul-16;Mar-17;Department for International Trade is a UK Government Department formed on 14 July 2016. It is responsible for developing and negotiating trade agreements between the UK and non European Union countries.;
Department for Transport;Central Government;S.1311;;;;
Department for Transport, Local Government and the Regions (DTLR);Former Central Government;S.1311;;;;
Department for Work and Pensions;Central Government;S.1311;;;;
Department of Energy and Climate Change (DECC);Former Central Government;S.1311;14-Jul-16;Mar-17;On 14 July 2016, the Department for Business, Innovation and Skills and the Department of Energy and Climate Change were merged together to form the Department for Business, Energy and Industrial Strategy. ;
Department of Health;Central Government;S.1311;;;;
Department of Trade and Industry (DTI);Former Central Government;S.1311;;;;
Derby City Council;Local Government;S.1313;;;;
Derby Homes Ltd;Public Non-Financial Corporation;S.11001;;;;
Derbyshire County Council;Local Government;S.1313;;;;
Derbyshire Dales District Council;Local Government;S.1313;;;;
Derbyshire, Nottinghamshire, Leicestershire & Rutland Community Rehabilitation Company (CRC);Former Central Government;S.1311;1-Feb-15;Mar-14;;
Derry City and Strabane District Council;Local Government;S.1313;;;;
Design Council (incorporating CABE);Former Central Government;S.1311;1-Apr-11;Sep-11;;
Deva Manufacturing Services Ltd - (s BNG / BNFL);Public Non Financial Corporation;S.11001;;;;
Development Awareness Working Group;Former Central Government;S.1311;1-Apr-01;Sep-12;;
Development Board for Rural Wales;Former Public Corporation;S.11001;;;;
Development Initiative for Slough Housing;Local Government;S.1313;;;;
Devon County Council;Local Government;S.1313;;;;
Devon Waste Management Limited;Former Public Corporation;S.11001;1-Dec-03;Nov-14;;
Diamond Light Source Limited;Central Government;S.1311;1-Feb-02;Aug-11;;
Diceform Ltd  - (s Remploy Ltd);Former Public Corporation;S.11001;;;;
Diplomatic Service Appeal Board;Former Central Government;S.1311;1-Mar-11;Dec-10;;
Direct Labour Organisations (En Bloc);Local Government;S.1313;;;;
Direct Line Group;Former Public Financial Corporation;S.12801;1-Sep-13;Feb-14;;
Direct Rail Services Ltd;Public Non-Financial Corporation;S.11001;;;;
Direct Service Organisations;Local Government;S.1313;;;;
Directly Operated Railways;Central Government;S.1311;;;;
Disability Employment Advisory Committee;Former Central Government;S.1311;1-Apr-08;Nov-11;;
Disability Living Allowance Advisory Board;Former Central Government;S.1311;1-Feb-13;Feb-13;;
Disability Living Allowance Advisory Board for Northern Ireland;Central Government;S.1311;;;;
Disability Rights Commission;Former Central Government;S.1311;;;;
Disability Rights Task Force;Former Central Government;S.1311;;;;
Disabled People’s Employment Corporation (UK) Ltd;Central Government;S.1311;7-Apr-15;Sep-15;"After the incorporation of the new Remploy Ltd, certain assets and liabilities were left behind with the ""old"" Remploy company, now known as the Disabled People's Employment Corporation (GB) Ltd (“DPEC”). It was judged that DPEC remained under government control, in accordance with the European System of Accounts 2010 (ESA 2010) and the accompanying 2014 Manual on Government Deficit and Debt (MGDD 2014). This is through the government having control over the appointment of key personnel and guaranteeing funding to ensure that any net deficit, including pension liabilities, will be fully funded by the government until DPEC is closed down. DPEC no longer provides market services, and therefore it is reclassified to the central government subsector (S.1311). ";
Disabled Persons Transport Advisory Committee (DPTAC);Central Government;S.1311;;;;
Disclosure and Barring Service;Central Government;S.1311;1-Dec-12;Nov-15;In July 2014, ONS announced that the Disclosure and Barring Service (DBS) would be classified as a Public Non-Financial Corporation (S.11001). This was based on the fact that the fees DBS charges for disclosure checks are in proportion to the services the organisation produces (rather than raising revenues to be passed to other areas of government).  Following advice from Eurostat, the ONS has now completed a further analysis of the services DBS produces and has found that checks provided to government customers plus checks provided to certain customers free of charge (as a result of government policy) comprise a majority of the output produced by the DBS.  Checks provided to government customers is a proxy for non-market output in the context of ESA 2010 20.27, while checks provided free of charge are secondary non-market output.  As such, a majority of DBS activity is non-market production and DBS is therefore 'presumed' to be a non-market producer in accordance with the principles laid out in ESA 2010 20.27.  As a result, the DBS is a government-controlled non-market body and is reclassified in the Central Government subsector (S.1311) from its inception in December 2012. ;
Disposal Services Agency;Former Central Government;S.1311;1-Apr-07;Mar-11;;
Distinction and Meritorious Service Awards Committee;Central Government;S.1311;;;;
District Councils;Local Government;S.1313;;;;
DOA Ltd;Former Central Government;S.1311;1-Jul-12;Apr-13;;
Docklands Light Railway Ltd (s.TfL);Public Non-Financial Corporation;S.11001;;;;
Doctors’ and Dentists’ Review Body;Central Government;S.1311;;;;
Dolerite Funding No.1 plc;Public Financial Corporation;S.12501;;;;
Dolerite Funding No.2 plc;Public Financial Corporation;S.12501;;;;
Domestic Coal Consumers' Council;Former Central Government;S.1311;;;;
Dominican Playgroup;Local Government;S.1313;;;;
Donations and Bequests (to government);CG Funds, Accounts, Courts and Posts;S.1311;;;;
Doncaster Metropolitan Borough Council;Local Government;S.1313;;;;
Dorneywood Trust;Central Government;S.1311;;;;
Dornoch Aerodrome;Local Government;S.1313;;;;
Dorset County Council;Local Government;S.1313;;;;
Dorset, Devon & Cornwall Community Rehabilitation Company (CRC);Former Central Government;S.1311;1-Feb-15;Mar-15;;
Dounreay Site Restoration Limited;Central Government;S.1311;1-Apr-08;Feb-12;;
Dover District Council;Local Government;S.1313;;;;
Dover Harbour Board;Public Non-Financial Corporation;S.11001;;;;
Drainage Council for Northern Ireland;Central Government;S.1311;;;;
Driver & Vehicle Agency (Northern Ireland);Public Non-Financial Corporation;S.11001;;;;
Driver and Vehicle Licensing Agency (DVLA);Central Government;S.1311;;;;
Driving Standards Agency;Public Non-Financial Corporation;S.11001;;;;
Dudley Metropolitan Borough Council;Local Government;S.1313;;;;
Duke of York’s Military School;Former Central Government;S.1311;1-Apr-07;Mar-11;;
Dumfries and Galloway Council;Local Government;S.1313;;;;
Dumfries and Galloway Regional Council Harbour;Local Government;S.1313;;;;
Dunbar Harbour;Former Public Non-Financial Corporation;S.11001;2-Dec-15;Oct-16;In accordance with internationally agreed rules in the Europeans System of Accounts 2010 (ESA2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016), ONS has reviewed the classification of Scottish Trust Ports. Based on provisions contained within the Ports Act 1991, these were previously classified as public non-financial corporations (S.11001). The Scottish Government introduced new legislation in 2015 (the Harbours (Scotland) Act) to repeal sections of the Ports Act 1991 with a view to removing public sector control of Scottish Trust Ports. Following consideration of this legislation, ONS concluded that the Scottish Trust Ports are no longer subject to public sector controls. Scottish Trust Ports are now classified as private non-financial corporations, with this decision effective from 2 December 2015.;
Dunbar Port;Local Government;S.1313;;;;
Dundee Aerodrome;Former Local Government;S.1313;1-Dec-07;Apr-12;;
Dundee City Council;Local Government;S.1313;;;;
Dunstaffnage Marine Laboratory;Central Government;S.1311;;;;
Durham County Council;Local Government;S.1313;;;;
Durham Tees Valley Community Rehabilitation Company (CRC);Former Central Government;S.1311;1-Feb-15;Mar-15;;
Ealing Homes Ltd;Former Public Corporation;S.11001;1-Nov-12;Jul-13;;
East Ayrshire Council;Local Government;S.1313;;;;
East Cambridgeshire District Council;Local Government;S.1313;;;;
East Coast Main Line Company Ltd;Former Public Non-Financial Corporation;S.11001;1-Mar-15;Dec-15;"On 1 March 2015, Directly Operated Railways Ltd (a central government unit) sold all issued share capital in East Coast Main Line (ECML) Company Ltd to Inter City Railways Ltd, a new joint venture company between Stagecoach Transport Holding Ltd and Virgin Holdings Ltd.  Following this sale, ONS has reviewed the statistical classification of ECML Company Ltd.  In accordance with internationally agreed rules outlined in ESA 2010 and MGDD 2014, ONS concluded that ECML Company Ltd should be reclassified as a Private Non-Financial Corporation (S.11002);  this was due to the fact that public sector control over ECML Company Ltd is no longer evident and that it continues to act as a market producer. Entries in the Public Sector Classifications Guide have been updated to reflect this reclassification, recording ECML Company Ltd as a Former Public Non-Financial Corporation, effective 1 March 2015. ";
East Devon District Council;Local Government;S.1313;;;;
East Dorset District Council;Local Government;S.1313;;;;
East Dunbartonshire Council;Local Government;S.1313;;;;
East Dunbartonshire Municipal Bank Ltd;Public Financial Corporation;S.12501;;Jul-12;;
East Durham Homes Ltd;Public Non-Financial Corporation;S.11001;;;;
East Hampshire District Council;Local Government;S.1313;;;;
East Hertfordshire District Council;Local Government;S.1313;;;;
East Kent Housing;Public Non-Financial Corporation;S.11001;1-Apr-11;Jul-13;;
East Lancashire Light Railway Trust;Local Government;S.1313;;;;
East Lindsey District Council;Local Government;S.1313;;;;
East London Waste Authority;Local Government;S.1313;1-Jan-86;Jul-12;;
East Lothian Council;Local Government;S.1313;;;;
East Midlands Airport (s MA);Public Non-Financial Corporation/Public Non-Financial Corporation (see notes in tab);S.11001/3;1-Feb-13;Jun-15;;
East Midlands Airport Nottingham Derby Leicester Ltd;Public Non-Financial Corporation/Public Non-Financial Corporation (see notes in tab);S.11001/3;1-Feb-13;Jun-15;;
East Midlands Airport Property Investments (Hotels) Ltd;Public Non-Financial Corporation/Public Non-Financial Corporation (see notes in tab);S.11001/3;1-Feb-13;Jun-15;;
East Midlands Airport Property Investments (Industrial) Ltd;Public Non-Financial Corporation/Public Non-Financial Corporation (see notes in tab);S.11001/3;1-Feb-13;Jun-15;;
East Midlands Airport Property Investments (Offices) Ltd;Public Non-Financial Corporation/Public Non-Financial Corporation (see notes in tab);S.11001/3;1-Feb-13;Jun-15;;
East Midlands Cultural Consortium;Former Central Government;S.1311;1-Sep-10;May-12;;
East Midlands Development Agency;Former Central Government;S.1311;1-Jul-12;Aug-12;;
East Midlands International Airport;Former Public Corporation;S.11001;;;;
East Midlands Region: Electricity Consumers Committee;Former Central Government;S.1311;;;;
East Northamptonshire Council;Local Government;S.1313;;;;
East of England Development Agency;Former Central Government;S.1311;1-Jul-12;Aug-12;;
East of England International Ltd;Former Central Government;S.1311;21-Jun-12;Jan-17;East of England International Ltd was set up to deliver the international business objectives of the East of England Development Agency. In advance of the East of England Development Agency being dissolved on 1 July 2012, East of England International Ltd was dissolved on 21 June 2012. This was identified as part of an ongoing quality review of bodies listed on the guide.;
East of Scotland Water Authority;Former Public Corporation;S.11001;;;;
East Renfrewshire Council;Local Government;S.1313;;;;
East Riding of Yorkshire Council;Local Government;S.1313;;;;
East Staffordshire Borough Council;Local Government;S.1313;;;;
East Sussex County Council;Local Government;S.1313;;;;
Eastbourne Borough Council;Local Government;S.1313;;;;
Eastbourne Buses Ltd;Former Public Corporation;S.11001;1-Dec-08;Mar-11;;
Eastbourne Homes Ltd;Public Non-Financial Corporation;S.11001;;;;
Eastern Health and Personal Social Services Board;Central Government;S.1311;;;;
Eastern Region: Electricity Consumers’ Committee;Former Central Government;S.1311;;;;
Eastern Shires Purchasing Organisation;Public Non-Financial Corporation;S.11001;;;;
Eastleigh Borough Council;Local Government;S.1313;;;;
Eblex Ltd;Central Government;S.1311;;;;
Economic and Social Research Council, The;Central Government;S.1311;;;;
Economic Research Institute of Northern Ireland;Central Government;S.1311;;;;
Eday Aerodrome;Local Government;S.1313;;;;
Eden District Council;Local Government;S.1313;;;;
Edinburgh City Council;Local Government;S.1313;;;;
Edinburgh International Conference Centre Ltd;Local Government;S.1313;;;;
Edinburgh Tours Ltd;Public Non-Financial Corporation;S.11001;;;;
Education Action Fora;Local Government;S.1313;;;;
Education Funding Agency;Central Government;S.1311;1-Apr-12;Apr-12;;
Education Leeds Ltd;Local Government;S.1313;;;;
Education Scotland;Central Government;S.1311;1-Apr-11;Nov-12;;
Education Transfer Council (ETC);Former Central Government;S.1311;;;;
Education Workforce Council;Central Government;S.1311;1-Apr-15;Mar-19;;
Eileen Trust;CG Funds, Accounts, Courts and Posts;S.1311;;;;
Electoral Commission;Central Government;S.1311;;;;
Electricity Council;Former Central Government;S.1311;;;;
